asset_id,date,name,end_date,ann_date,change_reason,source_id,available_at,decision_time
002425.SZ,20240919,ST凯文,,20240918,ST,tushare,20240918T16:00:00+08:00,20240918T09:00:00+08:00
603007.SH,20240911,*ST花王,,20240910,*ST,tushare,20240910T16:00:00+08:00,20240910T09:00:00+08:00
002816.SZ,20240910,和科达,,20240907,撤销*ST,tushare,20240907T16:00:00+08:00,20240907T09:00:00+08:00
600208.SH,20240906,衢州发展,,20240903,改名,tushare,20240903T16:00:00+08:00,20240903T09:00:00+08:00
600603.SH,20240903,ST广物,,20240831,ST,tushare,20240831T16:00:00+08:00,20240831T09:00:00+08:00
603717.SH,20240821,天域生物,,20240816,改名,tushare,20240816T16:00:00+08:00,20240816T09:00:00+08:00
600666.SH,20240820,奥瑞德,,20240817,撤销ST,tushare,20240817T16:00:00+08:00,20240817T09:00:00+08:00
300237.SZ,20240814,美晨科技,,20240813,改名,tushare,20240813T16:00:00+08:00,20240813T09:00:00+08:00
603222.SH,20240813,济民健康,,20240809,改名,tushare,20240809T16:00:00+08:00,20240809T09:00:00+08:00
688779.SH,20240809,五矿新能,,20240806,改名,tushare,20240806T16:00:00+08:00,20240806T09:00:00+08:00
603324.SH,20240807,盛剑科技,,20240802,改名,tushare,20240802T16:00:00+08:00,20240802T09:00:00+08:00
600396.SH,20240806,华电辽能,,20240801,改名,tushare,20240801T16:00:00+08:00,20240801T09:00:00+08:00
002316.SZ,20240806,ST亚联,,20240805,ST,tushare,20240805T16:00:00+08:00,20240805T09:00:00+08:00
000417.SZ,20240806,合百集团,,20240806,改名,tushare,20240806T16:00:00+08:00,20240806T09:00:00+08:00
600711.SH,20240801,ST盛屯,,20240731,ST,tushare,20240731T16:00:00+08:00,20240731T09:00:00+08:00
600006.SH,20240730,东风股份,,20240725,其他,tushare,20240725T16:00:00+08:00,20240725T09:00:00+08:00
603117.SH,20240730,万林物流,,20240727,撤销ST,tushare,20240727T16:00:00+08:00,20240727T09:00:00+08:00
000975.SZ,20240725,山金国际,,20240725,改名,tushare,20240725T16:00:00+08:00,20240725T09:00:00+08:00
603399.SH,20240719,永杉锂业,,20240716,改名,tushare,20240716T16:00:00+08:00,20240716T09:00:00+08:00
000752.SZ,20240719,ST西发,,20240718,撤销*ST,tushare,20240718T16:00:00+08:00,20240718T09:00:00+08:00
600654.SH,20240718,中安科,,20240713,改名,tushare,20240713T16:00:00+08:00,20240713T09:00:00+08:00
600117.SH,20240718,西宁特钢,,20240717,撤销ST,tushare,20240717T16:00:00+08:00,20240717T09:00:00+08:00
300189.SZ,20240711,神农种业,,20240711,改名,tushare,20240711T16:00:00+08:00,20240711T09:00:00+08:00
603030.SH,20240710,全筑股份,,20240709,撤销ST,tushare,20240709T16:00:00+08:00,20240709T09:00:00+08:00
300376.SZ,20240709,ST易事特,,20240705,ST,tushare,20240705T16:00:00+08:00,20240705T09:00:00+08:00
000040.SZ,20240709,ST旭蓝,,20240705,ST,tushare,20240705T16:00:00+08:00,20240705T09:00:00+08:00
000413.SZ,20240709,ST旭电,,20240705,ST,tushare,20240705T16:00:00+08:00,20240705T09:00:00+08:00
600287.SH,20240709,ST舜天,,20240706,ST,tushare,20240706T16:00:00+08:00,20240706T09:00:00+08:00
600831.SH,20240709,ST广网,,20240706,ST,tushare,20240706T16:00:00+08:00,20240706T09:00:00+08:00
000976.SZ,20240709,*ST华铁,,20240706,*ST,tushare,20240706T16:00:00+08:00,20240706T09:00:00+08:00
002308.SZ,20240709,*ST威创,,20240706,*ST,tushare,20240706T16:00:00+08:00,20240706T09:00:00+08:00
300799.SZ,20240708,左江退,,20240628,终止上市,tushare,20240628T16:00:00+08:00,20240628T09:00:00+08:00
600543.SH,20240708,莫高股份,,20240705,撤销*ST,tushare,20240705T16:00:00+08:00,20240705T09:00:00+08:00
301110.SZ,20240708,青木科技,,20240705,改名,tushare,20240705T16:00:00+08:00,20240705T09:00:00+08:00
600518.SH,20240704,康美药业,,20240703,撤销ST,tushare,20240703T16:00:00+08:00,20240703T09:00:00+08:00
000007.SZ,20240702,全新好,,20240701,撤销*ST,tushare,20240701T16:00:00+08:00,20240701T09:00:00+08:00
300742.SZ,20240701,越博退,,20240621,终止上市,tushare,20240621T16:00:00+08:00,20240621T09:00:00+08:00
000615.SZ,20240628,ST美谷,,20240627,摘星,tushare,20240627T16:00:00+08:00,20240627T09:00:00+08:00
300282.SZ,20240627,三盛退,,20240620,终止上市,tushare,20240620T16:00:00+08:00,20240620T09:00:00+08:00
600759.SH,20240626,洲际油气,,20240625,撤销ST,tushare,20240625T16:00:00+08:00,20240625T09:00:00+08:00
603880.SH,20240626,南卫股份,,20240625,撤销ST,tushare,20240625T16:00:00+08:00,20240625T09:00:00+08:00
603001.SH,20240626,奥康国际,,20240625,撤销ST,tushare,20240625T16:00:00+08:00,20240625T09:00:00+08:00
600136.SH,20240626,ST明诚,,20240625,摘星,tushare,20240625T16:00:00+08:00,20240625T09:00:00+08:00
600654.SH,20240626,中安消,,20240625,撤销ST,tushare,20240625T16:00:00+08:00,20240625T09:00:00+08:00
000782.SZ,20240626,恒申新材,,20240626,改名,tushare,20240626T16:00:00+08:00,20240626T09:00:00+08:00
600078.SH,20240624,澄星股份,,20240621,撤销ST,tushare,20240621T16:00:00+08:00,20240621T09:00:00+08:00
600530.SH,20240621,交大昂立,,20240620,撤销ST,tushare,20240620T16:00:00+08:00,20240620T09:00:00+08:00
000796.SZ,20240619,ST凯撒,,20240618,摘星,tushare,20240618T16:00:00+08:00,20240618T09:00:00+08:00
603180.SH,20240618,金牌家居,,20240613,其他,tushare,20240613T16:00:00+08:00,20240613T09:00:00+08:00
002482.SZ,20240618,广田集团,,20240615,其他,tushare,20240615T16:00:00+08:00,20240615T09:00:00+08:00
600073.SH,20240617,光明肉业,,20240613,改名,tushare,20240613T16:00:00+08:00,20240613T09:00:00+08:00
002433.SZ,20240614,太安退,,20240606,终止上市,tushare,20240606T16:00:00+08:00,20240606T09:00:00+08:00
600589.SH,20240614,广东榕泰,,20240613,其他,tushare,20240613T16:00:00+08:00,20240613T09:00:00+08:00
600671.SH,20240614,ST目药,,20240613,摘星,tushare,20240613T16:00:00+08:00,20240613T09:00:00+08:00
300010.SZ,20240613,豆神教育,,20240612,其他,tushare,20240612T16:00:00+08:00,20240612T09:00:00+08:00
002800.SZ,20240613,天顺股份,,20240612,撤销ST,tushare,20240612T16:00:00+08:00,20240612T09:00:00+08:00
300823.SZ,20240613,建科智能,,20240612,改名,tushare,20240612T16:00:00+08:00,20240612T09:00:00+08:00
603551.SH,20240612,奥普科技,,20240606,改名,tushare,20240606T16:00:00+08:00,20240606T09:00:00+08:00
002721.SZ,20240612,ST金一,,20240608,撤销*ST,tushare,20240608T16:00:00+08:00,20240608T09:00:00+08:00
002086.SZ,20240612,东方海洋,,20240608,其他,tushare,20240608T16:00:00+08:00,20240608T09:00:00+08:00
002157.SZ,20240612,正邦科技,,20240608,撤销*ST,tushare,20240608T16:00:00+08:00,20240608T09:00:00+08:00
000637.SZ,20240612,茂化实华,,20240611,撤销ST,tushare,20240611T16:00:00+08:00,20240611T09:00:00+08:00
300220.SZ,20240612,金运激光,,20240611,撤销ST,tushare,20240611T16:00:00+08:00,20240611T09:00:00+08:00
603026.SH,20240611,石大胜华,,20240605,改名,tushare,20240605T16:00:00+08:00,20240605T09:00:00+08:00
